provcd,prov_name,year,identifier,area,人均可支配收入（元） ,自然灾害受灾人口（万人）,房价（元每平方）,移动电话普及率,地区基本经济面,代表性方言,amenity_climate,amenity_health,amenity_education,amenity_public_services
23,黑龙江省,2018,黑龙江省2018,东北,22726,362.3,4805.22619047619,101.6,0.2751295,东北官话,-2.100730304568796,-0.2680360427863782,-2.072244217006314,0.11359773606535428
31,上海市,2010,上海市2010,华东,30436,0.1,14502.8,122.93,-0.109717,吴语,0.4631576977568871,-2.4667384955200338,-1.3179857214181345,-0.48988749086693284
31,上海市,2011,上海市2011,华东,34731,44.1,14061.3,113.79,-0.109717,吴语,0.3554502069421634,-2.16007229070362,-1.240983985657341,-0.09208268473115835
31,上海市,2012,上海市2012,华东,38550,42.0,16420.0,128.2,0.008370488,吴语,0.4491343868884558,-1.8444052996488582,-1.2114746643184677,-0.0703520619969226
31,上海市,2013,上海市2013,华东,42174,12.1,16787.1,132.52,0.28660721,吴语,0.5469706268986676,-1.8404105564492297,-1.2584458624903438,-0.021151206067701073
31,上海市,2014,上海市2014,华东,45966,,20949.4,135.74,0.38449654,吴语,0.7118571222053091,-1.5485784850452973,-1.5059454393117802,-0.004159231730298334
31,上海市,2015,上海市2015,华东,49867,16.9,24747.3,129.69,0.56594831,吴语,0.7391111222572654,-1.3071773303502061,-1.7227979910054616,0.08594132014542297
31,上海市,2016,上海市2016,华东,54305,0.5,23803.9,130.44,0.73424953,吴语,0.7268906960883342,-0.9700505775298505,-1.8464356846327927,0.16161423704523156
31,上海市,2017,上海市2017,华东,58988,,45617.4166666667,136.4,0.85701895,吴语,1.010542190775825,-0.8876996710003269,-2.0269066778794635,0.3725520274690618
31,上海市,2018,上海市2018,华东,64183,40.8,51853.5833333333,153.57,0.97515869,吴语,0.625833433646354,-0.7539653215569838,-2.0650553655561255,-0.2199023502192511
32,江苏省,2010,江苏省2010,华东,17006,743.7,6160.73,76.67,-0.59511513,吴语,0.25241216153000107,-0.2803940578014546,-0.09989216801945386,0.835962772242544
32,江苏省,2011,江苏省2011,华东,19820,1907.5,6147.510769230769,84.95,-0.19810332,吴语,0.16130500374284149,0.20742305242447096,-0.2416895182374856,1.2684957500243312
32,江苏省,2012,江苏省2012,华东,22432,1492.9,6362.542307692308,94.6,-0.61611384,吴语,0.36021990178788604,0.5909814090095231,-0.5505605365525961,1.4254169315208933
32,江苏省,2013,江苏省2013,华东,24776,590.7,6259.411538461539,100.03,-0.38354692,吴语,0.46702434773450613,0.9043383540010721,-0.4913422291956709,1.6060068514748496
32,江苏省,2014,江苏省2014,华东,27173,548.4,6311.88923076923,101.39,-0.35576501,吴语,1.010943936257117,1.2905668832373705,-0.40844851515253977,1.8485163426873763
32,江苏省,2015,江苏省2015,华东,29539,534.8,6932.528461538461,100.21,-0.18202215,吴语,1.4663425287370357,1.6700041301850908,-0.1908628906342245,2.0503015252934054
32,江苏省,2016,江苏省2016,华东,32070,237.7,7405.793076923077,102.5,-0.039066333,吴语,1.6519315229539187,1.983833586071258,-0.06782343957149084,2.262978425576496
32,江苏省,2017,江苏省2017,华东,35024,77.0,8660.19230769231,109.69,0.1976283,吴语,1.1585387653800359,2.307914909342484,0.1269847095681897,2.5453490242946715
32,江苏省,2018,江苏省2018,华东,38096,348.3,10640.05885780886,121.65,0.35031757,吴语,1.3892619054235773,2.5266490404094544,0.3094497163053658,2.4933897658124744
33,浙江省,2010,浙江省2010,华东,21159,611.6,9537.270909090908,97.44,-0.3924447,吴语,0.676619450450392,-0.7841997181875807,0.9782368597484797,0.6284454350475447
33,浙江省,2011,浙江省2011,华东,24195,784.7,10006.02090909091,105.67,-0.36786547,吴语,0.0987433242231465,-0.5281424523691084,0.9266414494087861,0.9478145051338954
33,浙江省,2012,浙江省2012,华东,27020,1126.7,10212.41181818182,117.9,-0.69555533,吴语,0.5949683111478729,-0.4168221055658499,0.5864876298390763,1.1197982144151846
33,浙江省,2013,浙江省2013,华东,29775,1702.2,9743.496363636365,128.62,-0.3320497,吴语,0.44137981626416034,-0.0782130543740427,0.5538803325765252,1.3135899112443439
33,浙江省,2014,浙江省2014,华东,32658,471.4,9459.574545454547,133.82,-0.13539384,吴语,1.3238976176596728,0.3062788450015744,0.35852583498415735,1.6191676674737676
33,浙江省,2015,浙江省2015,华东,35537,704.6,9744.072727272727,131.5,-0.03949507,吴语,1.4854659511661028,0.5305080566499711,0.2591607672297966,1.9576897097658412
33,浙江省,2016,浙江省2016,华东,38529,436.9,11404.55545454545,129.27,-0.0028408964,吴语,1.6114373911025475,0.7875976682450248,0.10424797301828986,2.229853030393219
33,浙江省,2017,浙江省2017,华东,42046,113.0,11604.49242424242,134.18,0.19463091,吴语,1.1581814332277856,1.0182319649244507,0.11533956618952948,2.481367675848013
33,浙江省,2018,浙江省2018,华东,45840,139.9,13129.18939393938,144.83,0.32500556,吴语,1.173894198067117,1.2575364075133884,0.22140327640591592,2.590341517691958
34,安徽省,2010,安徽省2010,华东,9955,1640.0,4330.5,45.65,-0.51943642,江淮官话,0.40912671770251535,-0.5265310379918389,2.4413258097739376,-1.1989604026401222
